Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=10cm_Angle=0_Band2_Supine_Trial1.mat,Bandwidth2,10.0,0,Supine,1,0.6714154411764706,0.3064903846153846,0.1007080078125,1.025390625
DeltaR=10cm_Angle=0_Band2_Supine_Trial2.mat,Bandwidth2,10.0,0,Supine,2,0.6112060546875,0.28846153846153844,0.112152099609375,1.490020751953125
DeltaR=10cm_Angle=0_Band2_Supine_Trial3.mat,Bandwidth2,10.0,0,Supine,3,0.6746055825242718,0.3094951923076923,0.1007080078125,0.981903076171875
DeltaR=10cm_Angle=0_Band2_Supine_Trial4.mat,Bandwidth2,10.0,0,Supine,4,0.6306818181818181,0.2974759615384615,0.10986328125,1.856231689453125
DeltaR=10cm_Angle=0_Band2_Supine_Trial5.mat,Bandwidth2,10.0,0,Supine,5,0.6276041666666666,0.2704326923076923,0.1007080078125,1.297760009765625
DeltaR=10cm_Angle=0_Band2_Supine_Trial6.mat,Bandwidth2,10.0,0,Supine,6,0.02532762096774186,0.27944711538461536,0.272369384765625,1.53350830078125
DeltaR=10cm_Angle=0_Band2_Supine_Trial7.mat,Bandwidth2,10.0,0,Supine,7,0.27471301020408184,0.2944711538461538,0.3753662109375,1.30462646484375
DeltaR=10cm_Angle=0_Band2_Supine_Trial8.mat,Bandwidth2,10.0,0,Supine,8,0.41847278225806445,0.27944711538461536,0.162506103515625,1.0711669921875
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial1.mat,Bandwidth2,15.5,30,Facedown,1,0.09837372448979577,0.2944711538461538,0.2655029296875,0.899505615234375
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial2.mat,Bandwidth2,15.5,30,Facedown,2,0.10478414948453606,0.29146634615384615,0.26092529296875,1.22222900390625
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial3.mat,Bandwidth2,15.5,30,Facedown,3,0.12109375,0.3125,0.274658203125,0.881195068359375
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial4.mat,Bandwidth2,15.5,30,Facedown,4,0.67041015625,0.3125,0.102996826171875,0.908660888671875
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial5.mat,Bandwidth2,15.5,30,Facedown,5,0.619140625,0.3125,0.1190185546875,0.9521484375
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial6.mat,Bandwidth2,15.5,30,Facedown,6,0.6614583333333333,0.2974759615384615,0.1007080078125,2.433013916015625
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial7.mat,Bandwidth2,15.5,30,Facedown,7,0.11640624999999996,0.3004807692307692,0.2655029296875,0.84228515625
DeltaR=15.5cm_Angle=30_Band2_Facedown_Trial8.mat,Bandwidth2,15.5,30,Facedown,8,0.1486672794117646,0.3064903846153846,0.26092529296875,0.963592529296875
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial1.mat,Bandwidth2,15.5,30,Lateral,1,0.1650390625,0.3125,0.26092529296875,0.885772705078125
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial2.mat,Bandwidth2,15.5,30,Lateral,2,0.5196368243243242,0.3335336538461538,0.16021728515625,0.894927978515625
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial3.mat,Bandwidth2,15.5,30,Lateral,3,0.5574776785714285,0.31550480769230765,0.139617919921875,0.97503662109375
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial4.mat,Bandwidth2,15.5,30,Lateral,4,0.6808035714285714,0.31550480769230765,0.1007080078125,0.91552734375
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial5.mat,Bandwidth2,15.5,30,Lateral,5,0.016421419902912567,0.3094951923076923,0.304412841796875,1.226806640625
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial6.mat,Bandwidth2,15.5,30,Lateral,6,0.6434507978723404,0.2824519230769231,0.1007080078125,1.24969482421875
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial7.mat,Bandwidth2,15.5,30,Lateral,7,0.6460700757575757,0.2974759615384615,0.10528564453125,0.897216796875
DeltaR=15.5cm_Angle=30_Band2_Lateral_Trial8.mat,Bandwidth2,15.5,30,Lateral,8,0.3937832446808511,0.2824519230769231,0.3936767578125,1.403045654296875
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial1.mat,Bandwidth2,15.5,30,Supine,1,0.07236231435643549,0.30348557692307687,0.281524658203125,0.803375244140625
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial2.mat,Bandwidth2,15.5,30,Supine,2,0.06482054455445528,0.30348557692307687,0.2838134765625,0.8148193359375
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial3.mat,Bandwidth2,15.5,30,Supine,3,0.09498762376237609,0.30348557692307687,0.274658203125,1.000213623046875
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial4.mat,Bandwidth2,15.5,30,Supine,4,0.02981085526315775,0.2854567307692307,0.276947021484375,0.908660888671875
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial5.mat,Bandwidth2,15.5,30,Supine,5,0.05386513157894723,0.2854567307692307,0.27008056640625,0.8697509765625
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial6.mat,Bandwidth2,15.5,30,Supine,6,0.12946428571428573,0.2734375,0.238037109375,0.92010498046875
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial7.mat,Bandwidth2,15.5,30,Supine,7,0.13404605263157882,0.2854567307692307,0.2471923828125,0.812530517578125
DeltaR=15.5cm_Angle=30_Band2_Supine_Trial8.mat,Bandwidth2,15.5,30,Supine,8,0.25579202586206895,0.2614182692307692,0.194549560546875,0.87432861328125
DeltaR=20cm_Angle=0_Band2_Facedown_Trial1.mat,Bandwidth2,20.0,0,Facedown,1,0.11391900510204067,0.2944711538461538,0.26092529296875,0.821685791015625
DeltaR=20cm_Angle=0_Band2_Facedown_Trial2.mat,Bandwidth2,20.0,0,Facedown,2,0.12515470297029688,0.30348557692307687,0.2655029296875,1.080322265625
DeltaR=20cm_Angle=0_Band2_Facedown_Trial3.mat,Bandwidth2,20.0,0,Facedown,3,0.1421419902912621,0.3094951923076923,0.2655029296875,1.105499267578125
DeltaR=20cm_Angle=0_Band2_Facedown_Trial4.mat,Bandwidth2,20.0,0,Facedown,4,0.1402382425742573,0.30348557692307687,0.26092529296875,0.823974609375
DeltaR=20cm_Angle=0_Band2_Facedown_Trial5.mat,Bandwidth2,20.0,0,Facedown,5,0.15532178217821768,0.30348557692307687,0.25634765625,0.8056640625
DeltaR=20cm_Angle=0_Band2_Facedown_Trial6.mat,Bandwidth2,20.0,0,Facedown,6,0.06990131578947355,0.2854567307692307,0.2655029296875,0.821685791015625
DeltaR=20cm_Angle=0_Band2_Facedown_Trial7.mat,Bandwidth2,20.0,0,Facedown,7,0.1262637867647058,0.3064903846153846,0.267791748046875,1.153564453125
DeltaR=20cm_Angle=0_Band2_Facedown_Trial8.mat,Bandwidth2,20.0,0,Facedown,8,0.05578613281249992,0.28846153846153844,0.272369384765625,1.1260986328125
DeltaR=20cm_Angle=0_Band2_Lateral_Trial1.mat,Bandwidth2,20.0,0,Lateral,1,0.09209280303030294,0.2974759615384615,0.27008056640625,0.881195068359375
DeltaR=20cm_Angle=0_Band2_Lateral_Trial2.mat,Bandwidth2,20.0,0,Lateral,2,0.08907860824742266,0.29146634615384615,0.2655029296875,1.24053955078125
DeltaR=20cm_Angle=0_Band2_Lateral_Trial3.mat,Bandwidth2,20.0,0,Lateral,3,0.647203947368421,0.2854567307692307,0.1007080078125,1.4190673828125
DeltaR=20cm_Angle=0_Band2_Lateral_Trial4.mat,Bandwidth2,20.0,0,Lateral,4,0.15975354381443296,0.29146634615384615,0.244903564453125,1.06201171875
DeltaR=20cm_Angle=0_Band2_Lateral_Trial5.mat,Bandwidth2,20.0,0,Lateral,5,0.14500956632653048,0.2944711538461538,0.25177001953125,0.82855224609375
DeltaR=20cm_Angle=0_Band2_Lateral_Trial6.mat,Bandwidth2,20.0,0,Lateral,6,0.6230670103092784,0.29146634615384615,0.10986328125,0.830841064453125
DeltaR=20cm_Angle=0_Band2_Lateral_Trial7.mat,Bandwidth2,20.0,0,Lateral,7,0.09395559210526302,0.2854567307692307,0.258636474609375,0.977325439453125
DeltaR=20cm_Angle=0_Band2_Lateral_Trial8.mat,Bandwidth2,20.0,0,Lateral,8,0.16376528532608683,0.27644230769230765,0.231170654296875,0.853729248046875
DeltaR=20cm_Angle=0_Band2_Supine_Trial1.mat,Bandwidth2,20.0,0,Supine,1,0.1064453125,0.3125,0.27923583984375,0.858306884765625
DeltaR=20cm_Angle=0_Band2_Supine_Trial2.mat,Bandwidth2,20.0,0,Supine,2,0.12169164540816313,0.2944711538461538,0.258636474609375,0.8056640625
DeltaR=20cm_Angle=0_Band2_Supine_Trial3.mat,Bandwidth2,20.0,0,Supine,3,0.15637600806451607,0.27944711538461536,0.235748291015625,0.940704345703125
DeltaR=20cm_Angle=0_Band2_Supine_Trial4.mat,Bandwidth2,20.0,0,Supine,4,0.015339176829268233,0.24639423076923075,0.24261474609375,0.99334716796875
DeltaR=20cm_Angle=0_Band2_Supine_Trial5.mat,Bandwidth2,20.0,0,Supine,5,0.10662615740740729,0.24338942307692304,0.217437744140625,1.082611083984375
DeltaR=20cm_Angle=0_Band2_Supine_Trial6.mat,Bandwidth2,20.0,0,Supine,6,0.14206414473684198,0.2854567307692307,0.244903564453125,0.8056640625
