Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=8cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,8.0,30,Facedown,5,0.1375435034802783,0.3237680288461538,0.27923583984375,1.036834716796875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,8.0,30,Facedown,6,0.12946428571428567,0.32339242788461536,0.281524658203125,1.10321044921875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,8.0,30,Facedown,7,0.07893742442563471,0.31062199519230765,0.286102294921875,1.393890380859375
DeltaR=8cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,8.0,30,Facedown,8,0.10115418118466893,0.32339242788461536,0.290679931640625,0.812530517578125
DeltaR=8cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,8.0,30,Lateral,1,0.17562905844155838,0.34705528846153844,0.286102294921875,1.045989990234375
DeltaR=8cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,8.0,30,Lateral,2,0.04807692307692291,0.31738281249999994,0.3021240234375,1.567840576171875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,8.0,30,Lateral,3,0.20373245140388763,0.34780649038461536,0.276947021484375,1.9866943359375
DeltaR=8cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,8.0,30,Lateral,4,0.10326086956521724,0.33691406249999994,0.3021240234375,1.142120361328125
DeltaR=8cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,8.0,30,Lateral,5,0.08251404494382011,0.3342848557692307,0.30670166015625,1.68914794921875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,8.0,30,Lateral,6,0.07427482057416254,0.3140024038461538,0.290679931640625,1.95465087890625
DeltaR=8cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,8.0,30,Lateral,7,0.08593749999999993,0.30799278846153844,0.281524658203125,1.05743408203125
DeltaR=8cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,8.0,30,Lateral,8,0.08558030480656495,0.32038762019230765,0.29296875,1.72119140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,8.0,30,Supine,1,0.045818505338078276,0.3166316105769231,0.3021240234375,0.803375244140625
