Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,22.5,30,Lateral,8,0.5295576196473553,0.29822716346153844,0.157928466796875,1.055145263671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,22.5,30,Supine,1,0.9270306573957017,0.2971003605769231,0.275421142578125,0.86517333984375
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,22.5,30,Supine,2,0.8477083333333334,0.28170072115384615,0.238800048828125,1.05743408203125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,22.5,30,Supine,3,0.892559109874826,0.2700570913461538,0.299072265625,1.599884033203125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,22.5,30,Supine,4,0.6903901734104047,0.3248948317307692,0.22430419921875,1.055145263671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,22.5,30,Supine,5,0.5855105874316942,0.2749399038461538,0.160980224609375,0.862884521484375
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,22.5,30,Supine,6,0.9300054505813955,0.2584134615384615,0.240325927734375,1.563262939453125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,22.5,30,Supine,7,0.9974144079885876,0.2632962740384615,0.26397705078125,0.908660888671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,22.5,30,Supine,8,0.8600523843930636,0.25991586538461536,0.223541259765625,0.862884521484375
DeltaR=27cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,27.0,0,Facedown,1,0.9237030905077263,0.34029447115384615,0.3143310546875,0.83770751953125
DeltaR=27cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,27.0,0,Facedown,2,0.8752540650406505,0.32339242788461536,0.283050537109375,1.073455810546875
DeltaR=27cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,27.0,0,Facedown,3,0.8651181446907819,0.3218900240384615,0.278472900390625,1.0528564453125
DeltaR=27cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,27.0,0,Facedown,4,0.9073086574654957,0.2993539663461538,0.2716064453125,0.922393798828125
DeltaR=27cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,27.0,0,Facedown,5,0.9707991803278688,0.2978515625,0.289154052734375,1.30462646484375
DeltaR=27cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,27.0,0,Facedown,6,0.8928571428571429,0.3076171875,0.274658203125,1.1077880859375
DeltaR=27cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,27.0,0,Facedown,7,0.8880585748792271,0.31099759615384615,0.27618408203125,1.151275634765625
DeltaR=27cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,27.0,0,Facedown,8,0.8139578349282298,0.3140024038461538,0.255584716796875,1.256561279296875
